MMSI, STATUS, SPEED, LON, LAT, COURSE, HEADING, TIMESTAMP, SHIP_ID
236691000,5,0,9.907683,53.5397,336,90,2020-02-01T01:12:00,265346
236691000,5,0,9.907683,53.53977,336,90,2020-02-01T02:12:00,265346
236691000,5,0,9.9077,53.53973,3,90,2020-02-01T03:12:00,265346
236691000,5,0,9.9076,53.53968,314,90,2020-02-01T04:12:00,265346
236691000,5,0,9.9076,53.53962,229,90,2020-02-01T05:12:00,265346
236691000,5,0,9.9077,53.53975,321,90,2020-02-01T06:12:00,265346
236691000,5,0,9.9076,53.53975,117,89,2020-02-01T07:12:00,265346
236691000,5,0,9.9077,53.53973,328,91,2020-02-01T08:12:00,265346
236691000,5,0,9.907817,53.53968,350,90,2020-02-01T09:12:00,265346
236691000,5,0,9.907733,53.53973,2,90,2020-02-01T10:12:00,265346
236691000,5,0,9.907733,53.53973,294,89,2020-02-01T11:12:00,265346
236691000,5,0,9.907733,53.53968,356,90,2020-02-01T12:12:00,265346
236691000,5,0,9.9077,53.5397,321,90,2020-02-01T13:12:00,265346
236691000,5,0,9.907717,53.53973,265,89,2020-02-01T14:12:00,265346
236691000,5,0,9.907717,53.53971,27,90,2020-02-01T15:12:00,265346
236691000,5,0,9.907634,53.5397,313,89,2020-02-01T16:12:00,265346
236691000,0,81,9.784416,53.55832,286,283,2020-02-01T17:12:00,265346
236691000,0,116,9.5443,53.62362,312,315,2020-02-01T18:12:00,265346
236691000,0,119,9.390767,53.78255,340,338,2020-02-01T19:12:00,265346
236691000,0,115,9.141833,53.88122,266,265,2020-02-01T20:11:00,265346
236691000,0,163,8.74725,53.85921,311,309,2020-02-01T21:11:00,265346
236691000,0,140,8.415934,53.9874,282,281,2020-02-01T22:10:00,265346
236691000,0,114,8.066334,54.01745,275,275,2020-02-01T23:10:00,265346
236691000,0,107,7.755967,54.03045,262,266,2020-02-02T00:10:00,265346
236691000,0,106,7.466717,53.98445,255,257,2020-02-02T01:09:00,265346
236691000,0,116,7.13555,53.93312,250,252,2020-02-02T02:15:00,265346
236691000,0,155,6.23725,53.80203,256,255,2020-02-02T04:38:00,265346
236691000,0,161,5.817317,53.7279,251,250,2020-02-02T05:37:00,265346
236691000,0,164,5.3991,53.6292,249,249,2020-02-02T06:37:00,265346
236691000,0,144,4.986917,53.54445,251,250,2020-02-02T07:37:00,265346
236691000,0,146,2.4521,53.59282,278,279,2020-02-02T13:54:00,265346
236691000,0,144,2.057767,53.628,280,279,2020-02-02T14:54:00,265346
236691000,0,144,1.651217,53.63863,266,265,2020-02-02T15:54:00,265346
236691000,0,135,1.078883,53.62365,255,252,2020-02-02T17:19:00,265346
236691000,0,137,0.699017,53.57595,263,261,2020-02-02T18:19:00,265346
236691000,0,151,0.29255,53.55077,268,270,2020-02-02T19:19:00,265346
236691000,0,145,-0.082617,53.61683,295,292,2020-02-02T20:20:00,265346
236691000,0,0,-0.18855,53.63013,225,216,2020-02-02T21:22:00,265346
236691000,5,0,-0.193167,53.62955,42,307,2020-02-02T22:24:00,265346
236691000,5,0,-0.193183,53.62958,10,305,2020-02-02T23:24:00,265346
