MMSI, STATUS, SPEED, LON, LAT, COURSE, HEADING, TIMESTAMP, SHIP_ID
224611000,5,1,-3.030778,53.402160,287,294,2019-11-30T00:57:00,460597
224611000,5,0,-3.030783,53.402160,297,294,2019-12-01T00:00:00,460597
224611000,5,1,-3.030760,53.402160,297,294,2019-12-02T00:00:00,460597
224611000,5,1,-3.030792,53.402190,273,294,2019-12-03T00:59:00,460597
224611000,5,1,-3.030700,53.402150,286,294,2019-12-04T00:02:00,460597
